price,resid_area,room_num,age,teachers,poor_prop,airport,n_hos_beds,n_hot_rooms,rainfall,Sold,WB_Lake,WB_River,dxd
28.0,34.86,6.727,33.5,21.0,5.29,1,6.46,14.224,54,1,1,0,84.99
23.9,34.86,6.619,70.4,21.0,7.22,1,5.578,12.1912,49,0,1,0,84.64
24.8,34.86,6.302,32.2,21.0,6.72,0,6.096,10.1984,20,0,0,1,85.09
22.9,34.86,6.167,46.7,21.0,7.51,1,7.558,10.1832,34,1,1,0,84.79
23.9,34.49,6.389,48.0,21.5,9.62,0,6.678,14.1912,23,0,1,0,51.98
26.6,34.49,6.63,56.1,21.5,6.53,0,9.732,12.2128,56,1,0,1,38.68
22.5,34.49,6.015,45.1,21.5,12.86,1,5.95,11.18,50,1,0,1,38.31
22.2,34.49,6.121,56.8,21.5,8.44,1,7.244,12.1776,43,0,0,0,19.64
23.6,33.41,7.007,86.3,22.2,5.5,0,6.972,10.1888,28,1,0,1,13.58
28.7,33.41,7.079,63.1,22.2,5.7,1,7.574,15.2296,31,1,0,0,13.34
22.6,33.41,6.417,66.1,22.2,8.81,1,7.352,15.1808,58,0,1,0,9.13
22.0,33.41,6.405,73.9,22.2,8.2,0,8.24,13.176,23,1,0,1,9.06
22.9,45.04,6.442,53.6,21.8,8.16,0,9.158,14.1832,60,1,1,0,17.8
25.0,45.04,6.211,28.9,21.8,6.21,0,10.3,14.2,46,1,1,1,17.97
20.6,45.04,6.249,77.3,21.8,10.59,0,5.712,13.1648,54,1,1,1,16.91
28.4,32.89,6.625,57.8,22.0,6.65,0,9.968,14.2272,46,1,0,1,14.83
21.4,32.89,6.163,69.6,22.0,11.34,0,10.228,12.1712,21,1,0,1,14.9
38.7,32.89,8.069,76.0,22.0,4.21,1,6.274,12.3096,53,1,0,1,14.87
43.8,32.89,7.82,36.9,22.0,3.57,1,10.876,10.3504,25,0,1,1,14.95
33.2,32.89,7.416,62.5,22.0,6.19,0,6.564,13.2656,31,1,0,1,14.78
27.5,38.56,6.727,79.9,19.1,9.42,1,9.65,15.22,24,0,1,0,5.88
26.5,38.56,6.781,71.3,19.1,7.67,1,7.23,10.212,58,1,0,1,6.52
18.6,38.56,6.405,85.4,19.1,10.63,0,6.772,13.1488,57,1,1,1,5.38
19.3,38.56,6.137,87.4,19.1,13.44,1,6.886,14.1544,36,1,0,0,5.34
20.1,38.56,6.167,90.0,19.1,12.33,1,7.102,10.1608,20,1,0,0,3.38
19.5,38.56,5.851,96.7,19.1,16.47,1,7.89,13.156,57,1,0,0,1.96
19.5,38.56,5.836,91.9,19.1,18.66,1,10.29,14.156,20,0,1,0,2.34
20.4,38.56,6.127,85.2,19.1,14.09,1,6.008,14.1632,57,0,1,1,2.01
19.8,38.56,6.474,97.1,19.1,12.27,0,8.596,10.1584,48,0,1,1,3.46
19.4,38.56,6.229,91.2,19.1,15.55,1,9.788,14.1552,41,0,0,0,4.13
21.7,38.56,6.195,54.4,19.1,13.0,1,6.934,10.1736,37,0,0,0,5.83
22.8,40.01,6.715,81.6,22.2,10.16,1,5.656,13.1824,34,1,0,1,5.01
18.8,40.01,5.913,92.9,22.2,16.21,1,0.0,15.1504,35,0,0,1,3.01
18.7,40.01,6.092,95.4,22.2,17.09,1,10.074,10.1496,59,0,0,1,4.16
18.5,40.01,6.254,84.2,22.2,10.45,0,6.67,12.148,39,1,1,1,2.55
18.3,40.01,5.928,88.2,22.2,15.76,0,7.566,11.1464,24,1,0,0,3.62
21.2,40.01,6.176,72.5,22.2,12.04,0,6.524,13.1696,23,1,0,0,5.43
19.2,40.01,6.021,82.6,22.2,10.3,0,9.484,15.1536,28,1,1,1,5.66
20.4,40.01,5.872,73.1,22.2,15.37,1,8.008,14.1632,40,0,0,1,3.7
19.3,40.01,5.731,65.2,22.2,13.61,1,10.186,11.1544,20,1,0,1,5.73
22.0,55.65,5.87,69.7,20.9,14.37,1,7.84,10.176,23,1,0,1,2.54
20.3,55.65,6.004,84.1,20.9,14.27,1,9.706,10.1624,39,1,1,1,2.29
20.5,55.65,5.961,92.9,20.9,17.93,1,8.91,10.164,51,1,0,0,1.87
17.3,55.65,5.856,97.0,20.9,25.41,1,9.146,10.1384,51,0,1,0,1.4
18.8,55.65,5.879,95.8,20.9,17.58,0,6.276,13.1504,56,0,0,1,1.59
21.4,55.65,5.986,88.4,20.9,14.81,1,8.128,14.1712,22,0,1,0,1.53
15.7,55.65,5.613,95.6,20.9,27.26,0,7.714,10.1256,42,0,1,0,0.93
16.2,51.89,5.693,96.0,18.8,17.19,1,5.924,15.1296,31,0,0,0,0.99
18.0,51.89,6.431,98.8,18.8,15.39,0,8.16,14.144,41,0,0,0,1.07
14.3,51.89,5.637,94.7,18.8,18.34,1,7.886,10.1144,30,0,1,0,1.5
19.2,51.89,6.458,98.9,18.8,12.6,1,8.984,13.1536,25,0,0,0,1.95
19.6,51.89,6.326,97.7,18.8,12.26,1,7.592,12.1568,29,0,0,0,2.61
23.0,51.89,6.372,97.9,18.8,11.12,1,8.96,12.184,57,1,1,1,2.92
18.4,51.89,5.822,95.4,18.8,15.03,1,10.268,10.1472,58,1,1,1,3.69
15.6,51.89,5.757,98.4,18.8,17.31,0,9.012,11.1248,32,1,1,1,3.02
18.1,51.89,6.335,98.2,18.8,16.96,1,7.862,11.1448,37,1,0,1,1.95
17.4,51.89,5.942,93.5,18.8,16.9,0,10.148,10.1392,37,1,0,1,1.44
17.1,51.89,6.454,98.4,18.8,14.59,1,6.942,11.1368,40,1,0,0,1.11
13.3,51.89,5.857,98.2,18.8,21.32,0,8.066,14.1064,39,1,0,1,0.75
17.8,51.89,6.151,97.9,18.8,18.46,1,8.656,10.1424,29,0,1,0,0.76
14.0,51.89,6.174,93.6,18.8,24.16,0,5.68,10.112,28,0,1,0,0.63
14.4,51.89,5.019,100.0,18.8,34.41,1,9.988,12.1152,43,0,0,0,0.4
13.4,49.58,5.403,100.0,25.3,26.82,1,5.268,13.1072,42,0,0,1,0.29
15.6,49.58,5.468,100.0,25.3,26.42,1,7.312,13.1248,25,0,0,0,0.38
11.8,49.58,4.903,97.8,25.3,29.29,1,6.636,13.0944,52,0,0,1,0.31
13.8,49.58,6.13,100.0,25.3,27.8,1,7.776,10.1104,59,1,0,1,0.37
15.6,49.58,5.628,100.0,25.3,16.65,1,5.612,10.1248,32,1,0,1,0.49
14.6,49.58,4.926,95.7,25.3,29.53,0,6.892,11.1168,24,0,0,0,0.42
17.8,49.58,5.186,93.8,25.3,28.32,0,9.856,14.1424,43,0,1,0,0.53
15.4,49.58,5.597,94.9,25.3,21.45,0,10.108,15.1232,48,1,0,0,0.52
21.5,49.58,6.122,97.3,25.3,14.1,0,5.53,12.172,34,0,0,1,0.66
19.6,49.58,5.404,100.0,25.3,13.28,0,6.492,11.1568,42,0,0,1,0.61
15.3,49.58,5.012,88.0,25.3,12.12,1,5.406,10.1224,46,0,0,0,0.63
19.4,49.58,5.709,98.5,25.3,15.79,0,6.088,12.1552,58,1,0,0,0.67
17.0,49.58,6.129,96.0,25.3,15.12,0,7.44,15.136,48,1,1,1,0.91
15.6,49.58,6.152,82.6,25.3,15.02,0,9.912,11.1248,37,1,0,1,0.91
13.1,49.58,5.272,94.0,25.3,16.14,0,6.362,10.1048,60,0,0,1,0.88
41.3,49.58,6.943,97.4,25.3,4.59,1,8.226,13.3304,57,0,0,0,1.24
24.3,49.58,6.066,100.0,25.3,6.43,0,8.886,13.1944,46,1,0,1,0.93
23.3,49.58,6.51,100.0,25.3,7.39,1,7.166,12.1864,36,1,1,0,0.96
27.0,49.58,6.25,92.6,25.3,5.5,1,8.44,12.216,23,0,1,0,1.03
50.0,49.58,7.489,90.8,25.3,1.73,1,10.5,11.4,35,0,0,0,1.48
50.0,49.58,7.802,98.2,25.3,1.92,1,8.4,12.4,22,0,1,0,1.71
50.0,49.58,8.375,93.9,25.3,3.32,1,8.0,12.4,57,0,0,1,2.16
22.7,49.58,5.854,91.8,25.3,11.64,1,8.354,15.1816,56,1,1,0,3.39
25.0,49.58,6.101,93.0,25.3,9.81,1,10.0,12.2,22,1,0,1,2.65
50.0,49.58,7.929,96.2,25.3,3.7,1,8.3,15.4,37,0,0,1,1.73
23.8,49.58,5.877,79.2,25.3,12.14,1,10.076,10.1904,22,1,1,0,3.41
23.8,49.58,6.319,96.1,25.3,11.1,0,6.676,11.1904,23,1,0,0,1.91
22.3,49.58,6.402,95.2,25.3,11.32,0,5.546,15.1784,22,1,1,1,2.61
17.4,49.58,5.875,94.6,25.3,14.43,0,7.948,11.1392,28,1,1,0,3.31
19.1,49.58,5.88,97.3,25.3,12.03,0,9.782,12.1528,54,1,0,1,3.2
23.1,34.05,5.572,88.5,23.4,14.69,0,9.362,12.1848,38,1,0,1,4.53
23.6,34.05,6.416,84.1,23.4,9.04,1,9.872,10.1888,59,1,0,0,4.87
22.6,34.05,5.859,68.7,23.4,9.64,1,9.752,15.1808,35,1,0,1,5.2
29.4,34.05,6.546,33.1,23.4,5.33,1,6.188,12.2352,48,0,0,0,9.56
23.2,34.05,6.02,47.2,23.4,10.11,1,8.564,15.1856,49,1,1,0,15.85
24.6,34.05,6.315,73.4,23.4,6.29,1,7.092,14.1968,31,1,1,0,12.14
29.9,34.05,6.86,74.4,23.4,6.92,0,5.898,11.2392,28,0,0,0,7.04
37.2,32.46,6.98,58.4,22.2,5.04,0,9.744,11.2976,50,0,1,0,6.35
39.8,32.46,7.765,83.3,22.2,7.56,1,8.496,14.3184,60,0,1,1,5.54
36.2,32.46,6.144,62.2,22.2,9.45,1,6.624,15.2896,59,0,0,1,4.52
37.9,32.46,7.155,92.2,22.2,4.82,1,9.258,15.3032,56,0,0,1,5.26
32.5,32.46,6.563,95.6,22.2,5.68,1,7.35,14.26,60,0,1,0,6.52
26.4,32.46,5.604,89.8,22.2,13.98,1,9.928,10.2112,27,1,1,0,7.97
29.6,32.46,6.153,68.8,22.2,13.15,1,8.192,11.2368,45,1,1,0,11.5
50.0,32.46,7.831,53.6,22.2,4.45,1,6.0,13.4,35,0,1,0,10.24
32.0,33.44,6.782,41.1,24.8,6.68,1,7.84,13.256,23,0,0,1,20.57
29.8,33.44,6.556,29.1,24.8,4.56,1,7.596,10.2384,40,1,0,1,43.4
34.9,33.44,7.185,38.9,24.8,5.39,0,9.298,14.2792,20,0,0,1,43.36
33.0,33.44,6.951,21.5,24.8,5.1,0,6.16,11.264,55,0,0,0,176.11
30.5,33.44,6.739,30.8,24.8,4.69,0,8.81,11.244,40,1,0,0,175.66
36.4,33.44,7.178,26.3,24.8,2.87,1,10.528,11.2912,40,1,1,0,175.66
31.1,32.93,6.8,9.9,24.4,5.03,0,6.822,13.2488,24,1,0,1,149.16
29.1,32.93,6.604,18.8,24.4,4.38,0,9.282,14.2328,59,1,0,1,149.11
50.0,30.46,7.875,32.0,25.6,2.97,1,8.2,14.4,26,0,0,1,101.79
33.3,31.52,7.287,34.1,27.4,4.08,1,7.266,15.2664,20,1,1,1,284.86
30.3,31.52,7.107,36.6,27.4,8.61,1,6.906,14.2424,24,1,1,1,284.96
34.6,31.52,7.274,38.3,27.4,6.62,0,10.192,14.2768,43,1,1,0,285.12
34.9,31.47,6.975,15.3,23.0,4.56,1,7.998,13.2792,24,1,0,0,342.26
32.9,31.47,7.135,13.9,23.0,4.45,0,5.958,10.2632,22,0,1,0,342.02
24.1,32.03,6.162,38.4,25.3,7.43,1,7.782,12.1928,32,0,0,1,154.65
42.3,32.03,7.61,15.7,25.3,3.11,0,10.546,14.3384,30,0,1,1,154.04
48.5,32.68,7.853,33.2,25.3,3.81,0,8.77,11.388,22,0,0,0,68.29
50.0,32.68,8.034,31.9,25.3,2.88,1,8.9,15.4,51,0,0,1,68.42
22.6,40.59,5.891,22.3,21.4,10.87,1,7.952,15.1808,26,0,0,1,24.1
24.4,40.59,6.326,52.5,21.4,10.97,1,6.688,11.1952,52,1,0,1,35.89
22.5,40.59,5.783,72.7,21.4,18.06,1,7.95,10.18,38,0,0,0,35.56
24.4,40.59,6.064,59.1,21.4,14.66,1,6.888,14.1952,31,0,0,0,32.16
20.0,40.59,5.344,100.0,21.4,23.09,0,7.9,13.16,60,0,0,0,22.41
21.7,40.59,5.96,92.1,21.4,17.27,1,8.034,12.1736,36,0,0,0,22.48
19.3,40.59,5.404,88.6,21.4,23.98,0,5.986,14.1544,39,0,0,1,17.89
22.4,40.59,5.807,53.8,21.4,16.03,1,6.848,13.1792,20,0,0,1,17.78
28.1,40.59,6.375,32.3,21.4,9.38,1,7.562,10.2248,3,1,0,0,24.04
23.7,40.59,5.412,9.8,21.4,29.55,1,5.674,11.1896,21,0,0,0,16.59
25.0,40.59,6.182,42.4,21.4,9.47,1,0.0,12.2,30,0,1,0,24.23
23.3,43.89,5.888,56.0,23.6,13.51,1,5.466,12.1864,22,1,1,1,9.15
28.7,43.89,6.642,85.1,23.6,9.69,0,9.274,14.2296,23,1,0,0,13.59
21.5,43.89,5.951,93.8,23.6,17.92,1,8.73,14.172,49,0,0,0,6.94
23.0,43.89,6.373,92.4,23.6,10.5,1,6.16,13.184,21,1,0,0,12.75
26.7,36.2,6.951,88.5,22.6,9.71,0,8.734,11.2136,23,0,0,1,6.64
21.7,36.2,6.164,91.3,22.6,21.46,1,5.734,14.1736,37,0,0,0,8.52
27.5,36.2,6.879,77.7,22.6,9.93,1,9.45,12.22,50,0,1,1,11.43
30.1,36.2,6.618,80.8,22.6,7.6,1,9.702,12.2408,39,0,0,1,11.26
44.8,36.2,8.266,78.3,22.6,4.14,1,6.796,12.3584,47,0,1,0,6.98
50.0,36.2,8.725,83.0,22.6,4.63,1,7.5,13.4,20,0,0,1,6.94
37.6,36.2,8.04,86.5,22.6,3.13,1,5.952,10.3008,54,1,1,1,10.6
31.6,36.2,7.163,79.9,22.6,6.36,0,6.332,10.2528,34,0,0,1,10.7
46.7,36.2,7.686,17.0,22.6,3.92,1,10.134,14.3736,43,0,1,0,12.9
31.5,36.2,6.552,21.4,22.6,3.76,1,7.33,15.252,47,0,0,0,12.9
24.3,36.2,5.981,68.1,22.6,11.65,0,8.286,10.1944,59,1,0,0,18.07
31.7,36.2,7.412,76.9,22.6,5.25,1,6.734,10.2536,26,0,0,0,18.05
41.7,36.2,8.337,73.3,22.6,2.47,1,6.634,11.3336,28,1,0,1,21.65
48.3,36.2,8.247,70.4,22.6,3.95,1,9.066,11.3864,23,0,0,0,17.7
29.0,36.2,6.726,66.5,22.6,8.05,1,9.88,13.232,32,1,0,1,17.68
24.0,36.2,6.086,61.5,22.6,10.88,1,9.18,14.192,57,0,0,0,17.62
25.1,36.2,6.631,76.5,22.6,9.54,1,9.402,15.2008,36,0,1,1,29.44
31.5,36.2,7.358,71.6,22.6,4.73,1,10.53,12.252,34,1,0,1,29.46
23.7,34.93,6.481,18.5,23.4,6.36,1,7.374,12.1896,48,0,1,1,146.53
23.3,34.93,6.606,42.2,23.4,7.37,0,5.566,15.1864,51,0,1,1,146.62
27.0,34.93,6.897,54.3,23.4,11.38,1,10.24,11.216,24,0,0,0,160.92
20.1,34.93,6.095,65.1,23.4,12.4,0,8.302,13.1608,41,1,0,0,160.7
22.2,34.93,6.358,52.9,23.4,11.22,1,6.044,10.1776,42,0,0,1,244.74
23.7,34.93,6.393,7.8,23.4,5.19,1,7.374,15.1896,26,1,0,1,245.25
17.6,35.86,5.593,76.5,20.9,12.5,0,6.252,12.1408,42,0,0,0,399.89
18.5,35.86,5.605,70.2,20.9,18.46,1,9.27,10.148,59,1,0,0,398.85
24.3,35.86,6.108,34.9,20.9,9.16,1,7.086,11.1944,25,0,0,0,419.64
20.5,35.86,6.226,79.2,20.9,10.15,0,9.81,12.164,31,0,0,1,420.44
24.5,35.86,6.433,49.1,20.9,9.52,1,8.39,15.196,43,0,0,1,375.09
26.2,35.86,6.718,17.5,20.9,6.56,1,9.324,11.2096,39,1,0,0,374.12
24.4,35.86,6.487,13.0,20.9,5.9,1,6.188,14.1952,38,1,0,1,299.09
24.8,35.86,6.438,8.9,20.9,3.59,0,10.296,12.1984,50,1,1,0,299.25
29.6,35.86,6.957,6.8,20.9,3.53,0,8.992,12.2368,57,0,1,1,627.68
42.8,35.86,8.259,8.4,20.9,3.54,0,10.856,13.3424,53,0,0,1,629.09
21.9,33.64,6.108,32.0,23.6,6.57,0,6.538,12.1752,56,0,0,1,721.5
20.9,33.64,5.876,19.1,23.6,9.25,0,7.818,15.1672,31,0,0,0,722.2
44.0,33.75,7.454,34.2,24.1,3.11,0,6.68,13.352,38,0,0,1,160.18
50.0,33.97,8.704,86.9,27.0,5.12,1,8.6,11.4,54,0,0,1,1.03
36.0,33.97,7.333,100.0,27.0,7.79,1,8.02,15.288,58,1,0,1,1.24
30.1,33.97,6.842,100.0,27.0,6.9,1,7.302,11.2408,40,1,0,1,1.59
33.8,33.97,7.203,81.8,27.0,9.59,1,0.0,11.2704,21,1,1,0,1.97
43.1,33.97,7.52,89.4,27.0,7.26,1,6.662,11.3448,24,0,1,1,2.06
48.8,33.97,8.398,91.5,27.0,5.91,1,10.076,15.3904,24,0,0,1,2.7
31.0,33.97,7.327,94.5,27.0,11.25,1,5.72,11.248,60,1,0,0,1.81
36.5,33.97,7.206,91.6,27.0,8.1,1,8.53,14.292,36,0,0,1,1.35
22.8,33.97,5.56,62.8,27.0,10.45,0,7.456,13.1824,59,0,0,0,1.54
30.7,33.97,7.014,84.6,27.0,14.79,0,6.114,10.2456,41,0,0,1,2.04
50.0,33.97,8.297,67.0,27.0,7.44,1,8.0,15.4,42,0,0,0,3.39
43.5,33.97,7.47,52.6,27.0,3.16,0,9.07,15.348,43,1,1,0,6.71
20.7,36.96,5.92,61.5,21.4,13.65,0,10.414,14.1656,29,1,1,1,23.41
21.1,36.96,5.856,42.1,21.4,13.0,1,6.222,15.1688,27,0,0,0,38.4
25.2,36.96,6.24,16.3,21.4,6.59,0,6.604,10.2016,25,1,0,1,38.32
24.4,36.96,6.538,58.7,21.4,7.73,1,8.488,13.1952,40,1,0,1,23.45
35.2,36.96,7.691,51.8,21.4,6.58,1,6.004,10.2816,39,0,0,1,36.28
32.4,36.41,6.758,32.9,22.4,3.53,0,10.648,12.2592,30,1,0,1,27.53
32.0,36.41,6.854,42.8,22.4,2.98,1,8.84,12.256,23,0,0,1,33.06
33.2,36.41,7.267,49.0,22.4,6.05,0,8.564,11.2656,35,0,1,0,52.4
33.1,36.41,6.826,27.6,22.4,4.16,0,6.262,11.2648,21,0,0,1,55.69
29.1,36.41,6.482,32.1,22.4,7.19,1,6.282,10.2328,38,0,0,1,29.17
35.1,33.33,6.812,32.2,25.1,4.85,0,9.602,12.2808,26,1,1,0,28.14
45.4,33.33,7.82,64.5,25.1,3.76,0,7.108,10.3632,50,0,0,0,48.29
35.4,33.33,6.968,37.2,25.1,4.59,1,8.508,14.2832,48,0,0,0,75.13
46.0,33.33,7.645,49.7,25.1,3.01,1,8.72,12.368,25,0,1,0,73.38
50.0,31.21,7.923,24.8,26.4,3.16,1,8.7,13.4,20,0,1,0,119.65
32.2,32.97,7.088,20.8,24.7,7.85,1,7.844,12.2576,30,0,1,1,284.49
22.0,32.25,6.453,31.9,24.7,8.23,1,10.44,14.176,55,1,0,0,284.97
20.1,31.76,6.23,31.5,21.8,12.93,1,8.302,10.1608,39,0,0,0,681.07
23.2,35.32,6.209,31.3,23.4,7.14,1,9.964,14.1856,60,1,1,0,286.65
22.3,35.32,6.315,45.6,23.4,7.6,0,5.846,12.1784,22,0,0,1,286.11
24.8,35.32,6.565,22.9,23.4,9.51,0,9.096,14.1984,60,1,0,0,286.29
28.5,34.95,6.861,27.9,20.8,3.33,1,8.07,11.228,53,1,0,1,68.42
37.3,34.95,7.148,27.7,20.8,3.56,1,8.146,10.2984,37,0,0,0,68.42
27.9,34.95,6.63,23.4,20.8,4.7,0,8.458,12.2232,37,1,0,1,68.35
23.9,43.92,6.127,18.4,24.0,8.58,1,7.278,14.1912,46,1,0,1,91.54
21.7,43.92,6.009,42.3,24.0,10.4,0,8.834,11.1736,23,1,1,0,91.66
28.6,43.92,6.678,31.1,24.0,6.27,1,6.972,10.2288,44,0,0,1,125.94
