price,crime_rate,resid_area,room_num,age,teachers,poor_prop,rainfall,d+d,aq_x_p
22.4,0.21719,40.59,5.807,53.8,21.4,16.03,20,14.61,1.03
28.1,0.14052,40.59,6.375,32.3,21.4,9.38,3,15.78,0.86
23.7,0.28955,40.59,5.412,9.8,21.4,29.55,21,14.36,1.1
25.0,0.19802,40.59,6.182,42.4,21.4,9.47,30,15.79,0.94
23.3,0.0456,43.89,5.888,56.0,23.6,13.51,22,12.45,1.36
28.7,0.07013,43.89,6.642,85.1,23.6,9.69,23,13.68,1.07
21.5,0.11069,43.89,5.951,93.8,23.6,17.92,49,11.56,1.06
23.0,0.11425,43.89,6.373,92.4,23.6,10.5,21,13.46,1.23
26.7,0.35809,36.2,6.951,88.5,22.6,9.71,23,11.44,1.09
21.7,0.40771,36.2,6.164,91.3,22.6,21.46,37,12.19,1.16
27.5,0.62356,36.2,6.879,77.7,22.6,9.93,50,13.09,0.95
30.1,0.6147,36.2,6.618,80.8,22.6,7.6,39,13.08,0.99
44.8,0.31533,36.2,8.266,78.3,22.6,4.14,47,11.58,1.15
50.0,0.52693,36.2,8.725,83.0,22.6,4.63,20,11.57,1.15
37.6,0.38214,36.2,8.04,86.5,22.6,3.13,54,12.86,1.07
31.6,0.41238,36.2,7.163,79.9,22.6,6.36,34,12.87,1.09
46.7,0.29819,36.2,7.686,17.0,22.6,3.92,43,13.51,1.11
31.5,0.44178,36.2,6.552,21.4,22.6,3.76,47,13.49,0.89
24.3,0.537,36.2,5.981,68.1,22.6,11.65,59,14.7,0.94
31.7,0.46296,36.2,7.412,76.9,22.6,5.25,26,14.69,1.09
41.7,0.57529,36.2,8.337,73.3,22.6,2.47,28,15.36,1.16
48.3,0.33147,36.2,8.247,70.4,22.6,3.95,23,14.6,1.02
29.0,0.44791,36.2,6.726,66.5,22.6,8.05,32,14.61,0.89
24.0,0.33045,36.2,6.086,61.5,22.6,10.88,57,14.6,1.06
25.1,0.52058,36.2,6.631,76.5,22.6,9.54,36,16.59,0.94
31.5,0.51183,36.2,7.358,71.6,22.6,4.73,34,16.59,1.14
23.7,0.08244,34.93,6.481,18.5,23.4,6.36,48,24.76,0.84
23.3,0.09252,34.93,6.606,42.2,23.4,7.37,51,24.76,0.71
27.0,0.11329,34.93,6.897,54.3,23.4,11.38,24,25.34,0.66
20.1,0.10612,34.93,6.095,65.1,23.4,12.4,41,25.34,0.68
22.2,0.1029,34.93,6.358,52.9,23.4,11.22,42,28.14,0.7
23.7,0.12757,34.93,6.393,7.8,23.4,5.19,26,28.15,0.82
17.6,0.20608,35.86,5.593,76.5,20.9,12.5,42,31.82,0.71
18.5,0.19133,35.86,5.605,70.2,20.9,18.46,59,31.82,0.75
24.3,0.33983,35.86,6.108,34.9,20.9,9.16,25,32.22,0.84
20.5,0.19657,35.86,6.226,79.2,20.9,10.15,31,32.22,0.8
24.5,0.16439,35.86,6.433,49.1,20.9,9.52,43,31.31,0.85
26.2,0.19073,35.86,6.718,17.5,20.9,6.56,39,31.3,0.76
24.4,0.1403,35.86,6.487,13.0,20.9,5.9,38,29.59,0.67
24.8,0.21409,35.86,6.438,8.9,20.9,3.59,50,29.59,0.81
29.6,0.08221,35.86,6.957,6.8,20.9,3.53,57,35.62,0.68
42.8,0.36894,35.86,8.259,8.4,20.9,3.54,53,35.63,0.88
21.9,0.04819,33.64,6.108,32.0,23.6,6.57,56,36.87,0.58
20.9,0.03548,33.64,5.876,19.1,23.6,9.25,31,36.88,0.69
44.0,0.01538,33.75,7.454,34.2,24.1,3.11,38,25.34,0.66
50.0,0.61154,33.97,8.704,86.9,27.0,5.12,54,7.21,1.43
36.0,0.66351,33.97,7.333,100.0,27.0,7.79,58,7.57,1.56
30.1,0.65665,33.97,6.842,100.0,27.0,6.9,40,8.05,1.55
33.8,0.54011,33.97,7.203,81.8,27.0,9.59,21,8.45,1.76
43.1,0.53412,33.97,7.52,89.4,27.0,7.26,24,8.55,1.68
48.8,0.52014,33.97,8.398,91.5,27.0,5.91,24,9.15,1.43
31.0,0.82526,33.97,7.327,94.5,27.0,11.25,60,8.32,1.44
36.5,0.55007,33.97,7.206,91.6,27.0,8.1,36,7.72,1.52
22.8,0.76162,33.97,5.56,62.8,27.0,10.45,59,7.94,1.52
30.7,0.7857,33.97,7.014,84.6,27.0,14.79,41,8.53,1.49
50.0,0.57834,33.97,8.297,67.0,27.0,7.44,42,9.68,1.45
43.5,0.5405,33.97,7.47,52.6,27.0,3.16,43,11.48,1.16
20.7,0.09065,36.96,5.92,61.5,21.4,13.65,29,15.67,0.97
21.1,0.29916,36.96,5.856,42.1,21.4,13.0,27,17.72,0.86
25.2,0.16211,36.96,6.24,16.3,21.4,6.59,25,17.72,0.81
24.4,0.1146,36.96,6.538,58.7,21.4,7.73,40,15.67,0.82
35.2,0.22188,36.96,7.691,51.8,21.4,6.58,39,17.47,0.79
32.4,0.05644,36.41,6.758,32.9,22.4,3.53,30,16.32,0.76
32.0,0.09604,36.41,6.854,42.8,22.4,2.98,23,17.07,0.69
33.2,0.10469,36.41,7.267,49.0,22.4,6.05,35,19.15,0.76
33.1,0.06127,36.41,6.826,27.6,22.4,4.16,21,19.45,0.75
29.1,0.07978,36.41,6.482,32.1,22.4,7.19,38,16.55,0.85
35.1,0.21038,33.33,6.812,32.2,25.1,4.85,26,16.4,0.91
45.4,0.03578,33.33,7.82,64.5,25.1,3.76,50,18.78,0.74
35.4,0.03705,33.33,6.968,37.2,25.1,4.59,48,20.98,0.75
46.0,0.06129,33.33,7.645,49.7,25.1,3.01,25,20.84,0.91
50.0,0.01501,31.21,7.923,24.8,26.4,3.16,20,23.54,0.78
32.2,0.00906,32.97,7.088,20.8,24.7,7.85,30,29.23,0.68
22.0,0.01096,32.25,6.453,31.9,24.7,8.23,55,29.23,0.54
20.1,0.01965,31.76,6.23,31.5,21.8,12.93,39,36.35,0.51
23.2,0.03871,35.32,6.209,31.3,23.4,7.14,60,29.28,0.7
22.3,0.0459,35.32,6.315,45.6,23.4,7.6,22,29.27,0.56
24.8,0.04297,35.32,6.565,22.9,23.4,9.51,60,29.27,0.66
28.5,0.03502,34.95,6.861,27.9,20.8,3.33,53,20.47,0.65
37.3,0.07886,34.95,7.148,27.7,20.8,3.56,37,20.47,0.78
27.9,0.03615,34.95,6.63,23.4,20.8,4.7,37,20.47,0.64
23.9,0.08265,43.92,6.127,18.4,24.0,8.58,46,22.02,0.85
21.7,0.08199,43.92,6.009,42.3,24.0,10.4,23,22.01,0.67
28.6,0.12932,43.92,6.678,31.1,24.0,6.27,44,23.84,0.73
27.1,0.05372,43.92,6.549,51.0,24.0,7.39,26,23.85,0.79
20.3,0.14103,43.92,5.79,58.0,24.0,15.84,42,25.28,0.91
22.5,0.06466,32.24,6.345,20.1,25.2,4.97,48,31.31,0.59
29.0,0.05561,32.24,7.041,10.0,25.2,4.74,36,31.32,0.66
24.8,0.04417,32.24,6.871,47.4,25.2,6.07,29,31.31,0.69
22.0,0.03537,36.09,6.59,40.4,23.9,9.5,21,21.98,0.64
26.4,0.09266,36.09,6.495,18.4,23.9,8.67,42,21.96,0.65
33.1,0.1,36.09,6.982,17.7,23.9,4.86,34,21.97,0.88
36.1,0.05515,32.18,7.236,41.1,21.6,6.93,55,16.09,0.99
28.4,0.05479,32.18,6.616,58.1,21.6,8.93,22,13.48,0.86
33.4,0.07503,32.18,7.42,71.9,21.6,6.47,23,12.4,0.95
28.2,0.04932,32.18,6.849,70.3,21.6,7.53,46,12.73,0.89
22.8,0.49298,39.9,6.635,82.5,21.6,4.54,31,13.27,1.26
20.3,0.3494,39.9,5.972,76.7,21.6,9.97,51,12.41,1.23
16.1,2.63548,39.9,4.973,37.8,21.6,12.64,27,10.07,1.22
22.1,0.79041,39.9,6.122,52.8,21.6,5.98,46,10.55,1.21
19.4,0.26169,39.9,6.023,90.4,21.6,11.72,26,11.33,1.16
21.6,0.26938,39.9,6.266,82.8,21.6,7.9,33,13.05,1.18
23.8,0.3692,39.9,6.567,87.3,21.6,9.28,56,14.42,1.18
16.2,0.25356,39.9,5.705,77.7,21.6,11.5,58,15.78,1.21
17.8,0.31827,39.9,5.914,83.2,21.6,18.33,43,15.99,1.13
19.8,0.24522,39.9,5.782,71.7,21.6,15.94,50,16.14,1.02
23.1,0.40202,39.9,6.382,67.2,21.6,10.36,53,14.13,1.12
21.0,0.47547,39.9,6.113,58.8,21.6,12.73,36,16.01,1.18
23.8,0.1676,37.38,6.426,52.3,20.4,7.2,48,18.17,1.09
23.1,0.18159,37.38,6.376,54.3,20.4,6.87,40,18.16,0.93
20.4,0.35114,37.38,6.041,49.9,20.4,7.7,40,18.89,0.9
18.5,0.28392,37.38,5.708,74.3,20.4,11.74,25,18.88,0.99
25.0,0.34109,37.38,6.415,40.1,20.4,6.12,52,18.88,0.93
24.6,0.19186,37.38,6.431,14.7,20.4,5.08,45,21.67,0.89
23.0,0.30347,37.38,6.312,28.9,20.4,6.15,36,21.67,0.96
22.2,0.24103,37.38,6.083,43.7,20.4,12.79,27,21.66,1.0
19.3,0.06617,33.24,5.868,25.8,23.1,9.97,35,20.87,0.73
22.6,0.06724,33.24,6.333,17.2,23.1,7.34,53,20.86,0.83
19.8,0.04544,33.24,6.144,32.2,23.1,9.09,26,23.5,0.79
17.1,0.05023,36.06,5.706,28.4,23.1,12.43,21,26.56,0.91
19.4,0.03466,36.06,6.031,23.3,23.1,7.83,22,26.56,0.91
22.2,0.05083,35.19,6.316,38.1,19.8,5.68,34,25.83,1.03
20.7,0.03738,35.19,6.31,38.5,19.8,6.75,53,25.84,1.14
21.1,0.03961,35.19,6.037,34.5,19.8,8.01,57,23.94,1.04
19.5,0.03427,35.19,5.869,46.3,19.8,9.8,53,20.92,0.92
18.5,0.03041,35.19,5.895,59.6,19.8,10.56,21,22.46,1.17
20.6,0.03306,35.19,6.059,37.3,19.8,8.51,26,19.25,1.1
19.0,0.05497,35.19,5.985,45.4,19.8,9.74,28,19.25,0.98
18.7,0.06151,35.19,5.968,58.5,19.8,9.29,20,19.25,1.1
32.7,0.01301,31.52,7.241,49.3,24.5,5.49,48,28.15,0.93
16.5,0.02498,31.89,6.54,59.7,24.1,8.65,40,25.07,1.17
23.9,0.02543,33.78,6.696,56.4,22.4,7.18,52,22.93,0.93
31.2,0.03049,33.78,6.874,28.1,22.4,4.61,23,25.86,0.9
17.5,0.03113,34.39,6.014,48.5,21.2,10.53,26,32.05,0.9
17.2,0.06162,34.39,5.898,52.3,21.2,12.67,46,32.06,0.78
23.1,0.0187,34.15,6.516,27.7,22.1,6.36,47,34.15,0.66
24.5,0.01501,32.01,6.635,29.7,23.0,5.99,45,33.37,0.85
26.6,0.02899,31.25,6.939,34.5,20.3,5.89,30,35.18,0.67
22.9,0.06211,31.25,6.49,44.4,20.3,5.98,55,35.17,0.67
24.1,0.0795,31.69,6.579,35.9,21.7,5.49,45,42.85,0.6
18.6,0.07244,31.69,5.884,18.5,21.7,7.79,50,42.85,0.65
30.1,0.01709,32.02,6.728,36.1,23.0,4.5,40,48.51,0.78
18.2,0.04301,31.91,5.663,21.9,18.0,8.05,34,42.34,0.78
20.6,0.10659,31.91,5.936,19.5,18.0,5.57,53,42.34,0.73
